Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2018-01-02,57.26274490356445,57.34126568134988,56.94866179242272,57.31985191395827,1284609
2018-01-03,57.20563507080078,57.56611284483127,57.14852806322447,57.441197392535074,1349269
2018-01-04,57.08430099487305,57.448351451396874,56.97008695124779,57.448351451396874,1596303
2018-01-05,57.933738708496094,57.997980010724014,57.36981923394583,57.491167546614754,2208531
2018-01-08,58.262107849121094,58.35490267568148,58.03368520633559,58.1050662610763,1293549
2018-01-09,58.668968200683594,58.8616975351017,58.5190663970198,58.526200688129684,3283522
2018-01-10,58.25495147705078,59.00446595289246,58.25495147705078,58.868838175391396,1944703
2018-01-11,58.03367614746094,58.3477538284986,57.876634583929835,58.3477538284986,2791094
2018-01-12,57.7338752746582,58.17644652164968,57.59825290630985,58.09078598951495,1781313
2018-01-15,57.94087600708008,58.11576419337222,57.619658587222595,58.03367626536856,1431419
2018-01-16,57.51972579956055,57.95515725957156,57.46261878440588,57.83380349086173,1518213
2018-01-17,57.18423080444336,57.384099918140585,57.005775460638716,57.25561185276024,2066964
2018-01-18,57.034332275390625,57.462624036144426,57.03433227539063,57.31272219218186,2093401
2018-01-19,56.98436737060547,57.405519409870394,56.98436737060547,57.177096764873646,1557603
2018-01-22,56.2848014831543,56.90582789823077,56.12775994513333,56.89154842421596,2414568
2018-01-23,56.57033920288086,56.80590154383146,56.46326491644654,56.47040465448202,2033594
2018-01-24,56.14204788208008,56.73452088446081,56.14204788208008,56.60603282907733,1923320
2018-01-25,56.14204788208008,56.15632191222292,55.69947670330933,56.00642008861294,3723004
2018-01-29,56.52751541137695,56.77735179892445,56.05639069826613,56.384747871332095,2385820
2018-01-30,56.45613479614258,56.72025068820478,56.213438121835715,56.256265665295665,1702998
2018-01-31,56.29908752441406,56.62030492890951,56.12063220057786,56.220566746244195,2953798
2018-02-01,57.11284255981445,57.21634424992882,56.32050049747623,56.391881536798984,2965072
2018-02-02,57.66963195800781,57.94802187024942,57.03433134330003,57.03433134330003,2631703
2018-02-05,56.962947845458984,57.29843931670676,56.763073286001415,57.07715643340985,2393475
2018-02-06,55.24977493286133,56.034977347894376,54.74296241546705,55.992149808572975,5684063
2018-02-07,54.81435012817383,56.36334137692914,54.800070649313824,56.11350495713401,5676630
2018-02-08,54.614471435546875,55.11414418770119,54.614471435546875,54.82148027458925,3493180
2018-02-09,54.428871154785156,54.5859127035792,53.879231180030025,54.071960524261975,3621859
2018-02-12,54.16476821899414,54.60733946674472,53.93634557893505,54.52881867365953,3411170
2018-02-13,54.464576721191406,54.77865444382901,54.16476758472901,54.41460943945189,3334988
2018-02-14,54.22999572753906,54.464566980522186,54.06872694249696,54.39125891996136,4217278
2018-02-15,54.14203643798828,54.45724212440565,54.054070109469286,54.42792001489932,3596362
2018-02-16,54.259307861328125,54.897051025444,54.24464960597093,54.24464960597093,2222914
2018-02-19,54.53787612915039,54.677149157512794,54.25931888718459,54.317963105769024,1449284
2018-02-20,54.43524932861328,54.523210060291355,54.12004365731957,54.427917403433355,2238370
2018-02-21,54.4865608215332,54.7211320902726,54.186013412381385,54.44990678879072,2210925
2018-02-22,54.721134185791016,54.831090695609,54.295971997225685,54.62583593405924,2473068
2018-02-23,55.314903259277344,55.47617209558482,54.545218712293824,54.99236558666239,4526316
2018-02-26,56.15055847167969,56.15055847167969,55.41752244569791,55.69607971484846,3450024
2018-02-27,56.267845153808594,56.61969930336586,56.23119111661181,56.44377222858723,2736893
2018-02-28,55.99660873413086,56.36312666305834,55.79869151326272,56.15054559316603,3744085
2018-03-01,55.75471115112305,55.99661435070732,55.64476023551231,55.75471115112305,1695236
2018-03-02,55.51280975341797,55.85733191983949,55.06565741840074,55.578780298279554,2447987
2018-03-05,54.99967956542969,55.512808021923504,54.83108444985097,55.512808021923504,1541207
2018-03-06,55.483489990234375,55.74738336606538,55.33687945220594,55.49081632267066,2280493
2018-03-07,55.080322265625,55.47616236001654,55.014351712870045,55.131634559752385,2458242
2018-03-08,55.83535385131836,55.8573440377095,55.351552972849596,55.5054898702088,3278343
2018-03-09,56.34846496582031,56.40710358047701,55.85732672065708,55.96728321114495,2944053
