scenario,k,dl_model,arima_order,seasonal_order,epochs,batch_size,w_best,dl_mae,dl_rmse,dl_mape,ens_mae,ens_rmse,ens_mape
ensemble_singlestep,,gru_2x64,"(5, 1, 0)",(),10,32,0.75,1.1375598703198722,1.503780183534823,1.285590736171526,1.1375598703198722,1.503780183534823,1.285590736171526
ensemble_multistep,5,lstm_2x64,"(5, 1, 0)",(),10,32,0.0,2.3096475971818533,3.0362252717851375,2.609009721412591,1.7316563524857762,2.3526292094304453,1.963256228069772
ensemble_multistep,5,gru_2x64,"(1, 1, 1)","(1, 1, 1, 5)",10,32,0.5,1.7543652972903863,2.369743625566377,1.9878161211971839,1.7055443992375392,2.322431561533446,1.9337796664486615
