,Accuracy,Precision,Recall,F1
Baseline,0.5390070921985816,0.603448275862069,0.45454545454545453,0.5185185185185185
WithSentiment,0.5319148936170213,0.5887096774193549,0.474025974025974,0.5251798561151079
